Statistical profiling result from isolate-0x138008000-24751-v8.log, (3160 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%          Function: ^ReadStream node:internal/fs/streams:148:20
      1  100.0%            LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
     57    3.9%    t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
     14   24.6%      LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
     10   71.4%        LazyCompile: *serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
     10  100.0%          LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:162:16
      9   90.0%            LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:148:27
      1   10.0%            Function: ^handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:148:27
      4   28.6%        t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      5    8.8%      LazyCompile: *set /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:461:6
      5  100.0%        LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      5  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      4    7.0%      LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      3   75.0%        LazyCompile: ~resolveMainPath node:internal/modules/run_main:15:25
      3  100.0%          LazyCompile: ~executeUserEntryPoint node:internal/modules/run_main:70:31
      3  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1   25.0%        LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:997:36
      4    7.0%      LazyCompile: *get header /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:47:13
      4  100.0%        LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      4  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    3.5%      LazyCompile: ~resolvePackageTargetString node:internal/modules/esm/resolve:488:36
      2  100.0%        LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:551:30
      2  100.0%          LazyCompile: ~resolvePackageTarget node:internal/modules/esm/resolve:551:30
      2  100.0%            LazyCompile: ~packageExportsResolve node:internal/modules/esm/resolve:654:31
      2    3.5%      LazyCompile: ~cache node:internal/http:26:15
      2  100.0%        LazyCompile: ~utcDate node:internal/http:21:17
      2  100.0%          LazyCompile: ~_storeHeader node:_http_outgoing:374:22
      2  100.0%            LazyCompile: ~writeHead node:_http_server:269:19
      2    3.5%      LazyCompile: *set type /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:310:11
      2  100.0%        t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      2  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    3.5%      LazyCompile: *set body /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:134:11
      2  100.0%        t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      2  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2    3.5%      LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      1   50.0%        LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
      1  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1   50.0%        LazyCompile: *Writable.uncork node:internal/streams/writable:341:37
      1  100.0%          Function: ^connectionCorkNT node:_http_outgoing:796:26
      1  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    3.5%      Function: ^<anonymous> node:internal/util:347:32
      2  100.0%        Function: ^<anonymous> node:fs:197:10
      1    1.8%      t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%        Function: ^<anonymous> node:internal/util:347:32
      1  100.0%          Function: ^<anonymous> node:fs:197:10
      1    1.8%      LazyCompile: ~toIdentifier /Users/tornado/code/node/nodejs-study/node_modules/resolve-path/node_modules/http-errors/index.js:256:23
      1  100.0%        LazyCompile: ~forEachCode /Users/tornado/code/node/nodejs-study/node_modules/resolve-path/node_modules/http-errors/index.js:226:38
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            LazyCompile: ~populateConstructorExports /Users/tornado/code/node/nodejs-study/node_modules/resolve-path/node_modules/http-errors/index.js:225:37
      1    1.8%      LazyCompile: ~set body /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:134:11
      1  100.0%        t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%          LazyCompile: ~<anonymous> /Users/tornado/code/node/nodejs-study/node_modules/delegates/index.js:91:40
      1  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    1.8%      LazyCompile: ~resolveExports node:internal/modules/cjs/loader:472:24
      1  100.0%        LazyCompile: ~Module._findPath node:internal/modules/cjs/loader:494:28
      1  100.0%          LazyCompile: ~Module._resolveFilename node:internal/modules/cjs/loader:848:35
      1  100.0%            LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      1    1.8%      LazyCompile: ~populateConstructorExports /Users/tornado/code/node/nodejs-study/node_modules/http-assert/node_modules/http-errors/index.js:264:37
      1  100.0%        Function: ~<anonymous> /Users/tornado/code/node/nodejs-study/node_modules/http-assert/node_modules/http-errors/index.js:1:1
      1  100.0%          Function: ^Module._compile node:internal/modules/cjs/loader:1057:37
      1  100.0%            LazyCompile: ~Module._extensions..js node:internal/modules/cjs/loader:1112:37
      1    1.8%      LazyCompile: *stat node:fs:1454:14
      1  100.0%        Function: ^<anonymous> node:internal/util:346:24
      1  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%            LazyCompile: *serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
      1    1.8%      LazyCompile: *set status /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:83:13
      1  100.0%        LazyCompile: *set body /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:134:11
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1    1.8%      LazyCompile: *getHeaders node:_http_outgoing:626:59
      1  100.0%        Function: ^get header /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:47:13
      1  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    1.8%      LazyCompile: *first /Users/tornado/code/node/nodejs-study/node_modules/ee-first/index.js:24:15
      1  100.0%        Function: ^onSocket /Users/tornado/code/node/nodejs-study/node_modules/on-finished/index.js:107:21
      1  100.0%          Function: ^attachFinishedListener /Users/tornado/code/node/nodejs-study/node_modules/on-finished/index.js:91:33
      1  100.0%            LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:162:16
      1    1.8%      LazyCompile: *clearIncoming node:_http_server:749:23
      1  100.0%        LazyCompile: *resOnFinish node:_http_server:788:21
      1  100.0%          LazyCompile: *onFinish node:_http_outgoing:828:18
      1  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    1.8%      LazyCompile: *Accepts.encoding.Accepts.encodings /Users/tornado/code/node/nodejs-study/node_modules/accepts/index.js:127:40
      1  100.0%        LazyCompile: *acceptsEncodings /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/request.js:572:19
      1  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%            LazyCompile: *serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
      1    1.8%      Function: ^toIdentifier /Users/tornado/code/node/nodejs-study/node_modules/toidentifier/index.js:24:23
      1  100.0%        Function: ^forEachCode /Users/tornado/code/node/nodejs-study/node_modules/koa-send/node_modules/http-errors/index.js:265:38
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            LazyCompile: ~populateConstructorExports /Users/tornado/code/node/nodejs-study/node_modules/koa-send/node_modules/http-errors/index.js:264:37
      1    1.8%      Function: ^setHeader node:_http_outgoing:574:57
      1  100.0%        Function: ^set /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:461:6
      1  100.0%          Function: ^proto.<computed> /Users/tornado/code/node/nodejs-study/node_modules/delegates/index.js:39:25
      1  100.0%            Function: ^send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1    1.8%      Function: ^onFinish /Users/tornado/code/node/nodejs-study/node_modules/on-finished/index.js:96:21
      1  100.0%        Function: ^callback /Users/tornado/code/node/nodejs-study/node_modules/ee-first/index.js:53:20
      1  100.0%          Function: ^onevent /Users/tornado/code/node/nodejs-study/node_modules/ee-first/index.js:81:26
      1  100.0%            LazyCompile: *emit node:events:470:44
      1    1.8%      Function: ^get /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:418:6
      1  100.0%        Function: ^get type /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:382:11
      1  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    1.8%      Function: ^createWriteWrap node:internal/stream_base_commons:109:25
      1  100.0%        Function: ^writevGeneric node:internal/stream_base_commons:122:23
      1  100.0%          Function: ^Socket._writeGeneric node:net:769:42
      1  100.0%            Function: ^Socket._writev node:net:801:36
      1    1.8%      Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%        Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%          Function: ^require node:internal/modules/cjs/helpers:101:31
      1  100.0%            Function: ~<anonymous> /Users/tornado/code/node/nodejs-study/node_modules/parseurl/index.js:1:1
      1    1.8%      Function: ^<anonymous> node:internal/fs/utils:686:40
      1  100.0%        LazyCompile: *Readable.read node:internal/streams/readable:394:35
      1  100.0%          Function: ^maybeReadMore_ node:internal/streams/readable:609:24
      1  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     53    3.6%    Function: ^writevGeneric node:internal/stream_base_commons:122:23
     53  100.0%      Function: ^Socket._writeGeneric node:net:769:42
     53  100.0%        Function: ^Socket._writev node:net:801:36
     53  100.0%          Function: ^doWrite node:internal/streams/writable:398:17
     38   71.7%            LazyCompile: *clearBuffer node:internal/streams/writable:529:21
     15   28.3%            Function: ^clearBuffer node:internal/streams/writable:529:21
     45    3.1%    LazyCompile: *Readable node:internal/streams/readable:181:18
     41   91.1%      LazyCompile: *Socket node:net:283:16
     37   90.2%        LazyCompile: *onconnection node:net:1544:22
      4    9.8%        Function: ^onconnection node:net:1544:22
      2    4.4%      LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
      1    2.2%      LazyCompile: *ReadStream node:internal/fs/streams:148:20
      1  100.0%        LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    2.2%      Function: ^ReadStream node:internal/fs/streams:148:20
      1  100.0%        LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
     33    2.2%    LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
     18   54.5%      LazyCompile: *serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
     18  100.0%        LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:162:16
     15   83.3%          LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:148:27
     15  100.0%            LazyCompile: *parserOnIncoming node:_http_server:852:26
      3   16.7%          Function: ^handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:148:27
      2   66.7%            LazyCompile: *emit node:events:470:44
      1   33.3%            LazyCompile: *parserOnIncoming node:_http_server:852:26
     12   36.4%      t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      3    9.1%      Function: ^serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
      3  100.0%        Function: ^dispatch /Users/tornado/code/node/nodejs-study/node_modules/koa-compose/index.js:35:23
      3  100.0%          Function: ^<anonymous> /Users/tornado/code/node/nodejs-study/node_modules/koa-compose/index.js:31:19
      3  100.0%            Function: ^handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:162:16
     33    2.2%    LazyCompile: *onwrite node:internal/streams/writable:425:17
     22   66.7%      LazyCompile: *writeGeneric node:internal/stream_base_commons:147:22
     21   95.5%        LazyCompile: *clearBuffer node:internal/streams/writable:529:21
     20   95.2%          LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
     20  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    4.8%          LazyCompile: *Writable.uncork node:internal/streams/writable:341:37
      1  100.0%            Function: ^connectionCorkNT node:_http_outgoing:796:26
      1    4.5%        Function: ^Socket._writeGeneric node:net:769:42
      1  100.0%          Function: ^Socket._write node:net:806:35
      1  100.0%            Function: ^doWrite node:internal/streams/writable:398:17
      4   12.1%      Function: ^afterWriteDispatched node:internal/stream_base_commons:155:30
      2   50.0%        Function: ^writevGeneric node:internal/stream_base_commons:122:23
      2  100.0%          Function: ^Socket._writeGeneric node:net:769:42
      2  100.0%            Function: ^Socket._writev node:net:801:36
      2   50.0%        Function: ^writeGeneric node:internal/stream_base_commons:147:22
      1   50.0%          LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      1  100.0%            LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
      1   50.0%          Function: ^Socket._writeGeneric node:net:769:42
      1  100.0%            Function: ^Socket._write node:net:806:35
      3    9.1%      LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      3  100.0%        LazyCompile: *Writable.uncork node:internal/streams/writable:341:37
      3  100.0%          Function: ^connectionCorkNT node:_http_outgoing:796:26
      3  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    6.1%      LazyCompile: *doWrite node:internal/streams/writable:398:17
      2  100.0%        LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      2  100.0%          LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
      2  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    6.1%      LazyCompile: *Socket._writev node:net:801:36
      2  100.0%        Function: ^doWrite node:internal/streams/writable:398:17
      2  100.0%          LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      2  100.0%            LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
     32    2.2%    LazyCompile: *Readable.read node:internal/streams/readable:394:35
     29   90.6%      LazyCompile: *maybeReadMore_ node:internal/streams/readable:609:24
     29  100.0%        LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    3.1%      LazyCompile: *pipeOnDrainFunctionResult node:internal/streams/readable:817:44
      1  100.0%        LazyCompile: *socketOnDrain node:_http_server:559:23
      1  100.0%          LazyCompile: *emit node:events:470:44
      1  100.0%            Function: ^afterWrite node:internal/streams/writable:487:20
      1    3.1%      LazyCompile: *flow node:internal/streams/readable:1009:14
      1  100.0%        Function: ^resume_ node:internal/streams/readable:985:17
      1  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    3.1%      Function: ^maybeReadMore_ node:internal/streams/readable:609:24
      1  100.0%        LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     32    2.2%    Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
     25   78.1%      Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      6   24.0%        Function: ~<anonymous> node:crypto:1:1
      6  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      6  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      3   12.0%        Function: ~<anonymous> node:http:1:1
      3  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      3  100.0%            Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      2    8.0%        Function: ~<anonymous> node:tty:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      2    8.0%        Function: ~<anonymous> node:internal/cluster/primary:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      2    8.0%        Function: ~<anonymous> node:child_process:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      2    8.0%        Function: ~<anonymous> node:_http_client:1:1
      2  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    4.0%        LazyCompile: ~lazyRequire node:internal/crypto/util:67:21
      1  100.0%          LazyCompile: ~get node:crypto:287:8
      1  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    4.0%        LazyCompile: ~lazyLoadStreams node:fs:2843:25
      1  100.0%          LazyCompile: ~get ReadStream node:fs:2986:17
      1  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1    4.0%        Function: ~<anonymous> node:internal/crypto/util:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    4.0%        Function: ~<anonymous> node:internal/crypto/hkdf:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    4.0%        Function: ~<anonymous> node:internal/child_process:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    4.0%        Function: ~<anonymous> node:assert:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1    4.0%        Function: ~<anonymous> node:_http_outgoing:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    4.0%        Function: ~<anonymous> node:_http_common:1:1
      1  100.0%          Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            Function: ^nativeModuleRequire node:internal/bootstrap/loaders:332:29
      6   18.8%      LazyCompile: ~compileForPublicLoader node:internal/bootstrap/loaders:246:25
      4   66.7%        Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      4  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      4  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
      2   33.3%        LazyCompile: ~loadNativeModule node:internal/modules/cjs/helpers:44:26
      2  100.0%          LazyCompile: ~Module._load node:internal/modules/cjs/loader:757:24
      2  100.0%            LazyCompile: ~Module.require node:internal/modules/cjs/loader:997:36
      1    3.1%      Function: ^compileForPublicLoader node:internal/bootstrap/loaders:246:25
      1  100.0%        Function: ^loadNativeModule node:internal/modules/cjs/helpers:44:26
      1  100.0%          Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%            Function: ^Module.require node:internal/modules/cjs/loader:997:36
     26    1.8%    Function: ^handleWriteReq node:internal/stream_base_commons:45:24
     26  100.0%      Function: ^writeGeneric node:internal/stream_base_commons:147:22
     22   84.6%        Function: ^Socket._writeGeneric node:net:769:42
     22  100.0%          Function: ^Socket._write node:net:806:35
     22  100.0%            Function: ^doWrite node:internal/streams/writable:398:17
      4   15.4%        LazyCompile: *clearBuffer node:internal/streams/writable:529:21
      4  100.0%          LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
      4  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     21    1.4%    LazyCompile: *writeGeneric node:internal/stream_base_commons:147:22
     21  100.0%      LazyCompile: *clearBuffer node:internal/streams/writable:529:21
     20   95.2%        LazyCompile: *connectionCorkNT node:_http_outgoing:796:26
     20  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      1    4.8%        LazyCompile: *Writable.uncork node:internal/streams/writable:341:37
      1  100.0%          Function: ^connectionCorkNT node:_http_outgoing:796:26
      1  100.0%            LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     21    1.4%    LazyCompile: *createUnsafeBuffer node:internal/buffer:1059:28
     21  100.0%      LazyCompile: *Readable.read node:internal/streams/readable:394:35
     19   90.5%        LazyCompile: *maybeReadMore_ node:internal/streams/readable:609:24
     19  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      2    9.5%        Function: ^maybeReadMore_ node:internal/streams/readable:609:24
      2  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     20    1.4%    LazyCompile: *endReadable node:internal/streams/readable:1329:21
     20  100.0%      LazyCompile: *Readable.read node:internal/streams/readable:394:35
     16   80.0%        LazyCompile: *resume_ node:internal/streams/readable:985:17
     16  100.0%          LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
      4   20.0%        LazyCompile: *emitReadable_ node:internal/streams/readable:574:23
      4  100.0%          LazyCompile: *readableAddChunk node:internal/streams/readable:236:26
      4  100.0%            LazyCompile: *wrapper node:fs:658:19
     19    1.3%    LazyCompile: *processTicksAndRejections node:internal/process/task_queues:68:35
     18    1.2%    LazyCompile: *Readable.on node:internal/streams/readable:875:33
      9   50.0%      LazyCompile: *connectionListenerInternal node:_http_server:443:36
      4   44.4%        LazyCompile: *connectionListener node:_http_server:437:28
      4  100.0%          LazyCompile: *onconnection node:net:1544:22
      4   44.4%        Function: ^defaultTriggerAsyncIdScope node:internal/async_hooks:456:36
      4  100.0%          Function: ^connectionListener node:_http_server:437:28
      4  100.0%            LazyCompile: *emit node:events:470:44
      1   11.1%        LazyCompile: *defaultTriggerAsyncIdScope node:internal/async_hooks:456:36
      1  100.0%          Function: ^connectionListener node:_http_server:437:28
      1  100.0%            LazyCompile: *onconnection node:net:1544:22
      3   16.7%      LazyCompile: *parserOnIncoming node:_http_server:852:26
      3  100.0%        LazyCompile: *parserOnHeadersComplete node:_http_common:77:33
      2   11.1%      LazyCompile: *set body /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:134:11
      2  100.0%        t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2  100.0%          LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      2  100.0%            t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      2   11.1%      LazyCompile: *Readable.pipe node:internal/streams/readable:654:35
      1   50.0%        LazyCompile: *respond /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:229:17
      1  100.0%          Function: ^handleResponse /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:166:28
      1   50.0%        Function: ^respond /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:229:17
      1  100.0%          Function: ^handleResponse /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:166:28
      1    5.6%      LazyCompile: *once node:events:658:44
      1  100.0%        Function: ^set body /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:134:11
      1  100.0%          t node::fs::LStat(v8::FunctionCallbackInfo<v8::Value> const&)
      1  100.0%            LazyCompile: *send /Users/tornado/code/node/nodejs-study/node_modules/koa-send/index.js:50:21
      1    5.6%      Function: ^Readable.pipe node:internal/streams/readable:654:35
      1  100.0%        Function: ^respond /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:229:17
      1  100.0%          Function: ^handleResponse /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:166:28
     15    1.0%    LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
     15  100.0%      LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      2   13.3%        LazyCompile: ~initializeCJSLoader node:internal/bootstrap/pre_execution:412:29
      2  100.0%          LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      2  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      2   13.3%        Function: ~<anonymous> node:internal/process/esm_loader:1:1
      2  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      2  100.0%            LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    6.7%        LazyCompile: ~setupInspectorHooks node:internal/bootstrap/pre_execution:223:29
      1  100.0%          LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    6.7%        LazyCompile: ~initializeSourceMapsHandlers node:internal/bootstrap/pre_execution:451:38
      1  100.0%          LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    6.7%        LazyCompile: ~initializeReport node:internal/bootstrap/pre_execution:173:26
      1  100.0%          LazyCompile: ~prepareMainThreadExecution node:internal/bootstrap/pre_execution:22:36
      1  100.0%            Function: ~<anonymous> node:internal/main/run_main_module:1:1
      1    6.7%        Function: ~<anonymous> node:internal/source_map/source_map_cache:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    6.7%        Function: ~<anonymous> node:internal/modules/esm/translators:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    6.7%        Function: ~<anonymous> node:internal/modules/esm/resolve:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    6.7%        Function: ~<anonymous> node:internal/modules/esm/module_map:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1  100.0%            LazyCompile: ~nativeModuleRequire node:internal/bootstrap/loaders:332:29
      1    6.7%        Function: ~<anonymous> node:internal/modules/esm/loader:1:1
      1  100.0%          LazyCompile: ~compileForInternalLoader node:internal/bootstrap/loaders:299:27
