Statistical profiling result from isolate-0x138008000-24751-v8.log, (3160 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  LazyCompile: *set status /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:83:13
      1    0.0%    0.0%  LazyCompile: *set /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:461:6
      1    0.0%    0.0%  LazyCompile: *serve /Users/tornado/code/node/nodejs-study/node_modules/koa-static/index.js:39:33
      1    0.0%    0.0%  LazyCompile: *resOnFinish node:_http_server:788:21
      1    0.0%    0.0%  LazyCompile: *parse node:path:1449:8
      1    0.0%    0.0%  LazyCompile: *onconnection node:net:1544:22
      1    0.0%    0.0%  LazyCompile: *onceWrapper node:events:634:21
      1    0.0%    0.0%  LazyCompile: *onParserExecuteCommon node:_http_server:691:31
      1    0.0%    0.0%  LazyCompile: *onParserExecute node:_http_server:634:25
      1    0.0%    0.0%  LazyCompile: *onDestroy node:internal/streams/destroy:73:21
      1    0.0%    0.0%  LazyCompile: *nop node:_http_outgoing:86:13
      1    0.0%    0.0%  LazyCompile: *maybeReadMore node:internal/streams/readable:602:23
      1    0.0%    0.0%  LazyCompile: *listenerCount node:events:852:23
      1    0.0%    0.0%  LazyCompile: *handleRequest /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/application.js:162:16
      1    0.0%    0.0%  LazyCompile: *getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.0%  LazyCompile: *getObserverType node:internal/perf/observe:117:25
      1    0.0%    0.0%  LazyCompile: *get writable /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:525:15
      1    0.0%    0.0%  LazyCompile: *get path /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/request.js:144:11
      1    0.0%    0.0%  LazyCompile: *endReadable node:internal/streams/readable:1329:21
      1    0.0%    0.0%  LazyCompile: *encodings /Users/tornado/code/node/nodejs-study/node_modules/negotiator/index.js:52:52
      1    0.0%    0.0%  LazyCompile: *emitReadable node:internal/streams/readable:563:22
      1    0.0%    0.0%  LazyCompile: *emitCloseNT node:internal/streams/destroy:126:21
      1    0.0%    0.0%  LazyCompile: *emit node:events:470:44
      1    0.0%    0.0%  LazyCompile: *destroy node:internal/streams/destroy:32:17
      1    0.0%    0.0%  LazyCompile: *destroy /Users/tornado/code/node/nodejs-study/node_modules/destroy/index.js:35:18
      1    0.0%    0.0%  LazyCompile: *debug /Users/tornado/code/node/nodejs-study/node_modules/koa-send/node_modules/debug/src/common.js:66:17
      1    0.0%    0.0%  LazyCompile: *dateFromMs node:internal/fs/utils:460:20
      1    0.0%    0.0%  LazyCompile: *createUnsafeBuffer node:internal/buffer:1059:28
      1    0.0%    0.0%  LazyCompile: *close node:internal/fs/streams:108:15
      1    0.0%    0.0%  LazyCompile: *assignSocket node:_http_server:239:62
      1    0.0%    0.0%  LazyCompile: *arrayClone node:events:877:20
      1    0.0%    0.0%  LazyCompile: *afterWriteTick node:internal/streams/writable:482:24
      1    0.0%    0.0%  LazyCompile: *afterShutdown node:net:451:23
      1    0.0%    0.0%  LazyCompile: *addListener node:events:616:58
      1    0.0%    0.0%  LazyCompile: *_flushOutput node:_http_outgoing:951:63
      1    0.0%    0.0%  LazyCompile: *Socket node:net:283:16
      1    0.0%    0.0%  LazyCompile: *Readable.unpipe node:internal/streams/readable:840:37
      1    0.0%    0.0%  LazyCompile: *Readable.resume node:internal/streams/readable:964:37
      1    0.0%    0.0%  LazyCompile: *ReadStream node:internal/fs/streams:148:20
      1    0.0%    0.0%  LazyCompile: *EventEmitter.init node:events:324:29
      1    0.0%    0.0%  LazyCompile: *Accepts.encoding.Accepts.encodings /Users/tornado/code/node/nodejs-study/node_modules/accepts/index.js:127:40
      1    0.0%    0.0%  LazyCompile: *Accepts /Users/tornado/code/node/nodejs-study/node_modules/accepts/index.js:32:18
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:net:685:24
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/validators:73:3
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:886:42
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:internal/fs/utils:636:3
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:fs:188:10
      1    0.0%    0.0%  LazyCompile: *<anonymous> node:buffer:348:36
      1    0.0%    0.0%  Function: ^writevGeneric node:internal/stream_base_commons:122:23
      1    0.0%    0.0%  Function: ^toNamespacedPath node:path:1266:19
      1    0.0%    0.0%  Function: ^socketOnDrain node:_http_server:559:23
      1    0.0%    0.0%  Function: ^set /Users/tornado/code/node/nodejs-study/node_modules/koa/lib/response.js:461:6
      1    0.0%    0.0%  Function: ^removeListener node:events:687:28
      1    0.0%    0.0%  Function: ^removeAllListeners node:events:747:32
      1    0.0%    0.0%  Function: ^readSync node:fs:684:18
      1    0.0%    0.0%  Function: ^nop node:internal/streams/writable:73:13
      1    0.0%    0.0%  Function: ^isEncoding node:buffer:529:40
      1    0.0%    0.0%  Function: ^hasObserver node:internal/perf/observe:474:21
      1    0.0%    0.0%  Function: ^getStderr node:internal/bootstrap/switches/is_main_thread:137:19
      1    0.0%    0.0%  Function: ^getStatsFromBinding node:internal/fs/utils:530:29
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1203:18
      1    0.0%    0.0%  Function: ^get node:internal/streams/readable:1166:8
      1    0.0%    0.0%  Function: ^get node:_http_incoming:108:16
      1    0.0%    0.0%  Function: ^freeParser node:_http_common:192:20
      1    0.0%    0.0%  Function: ^fastparse /Users/tornado/code/node/nodejs-study/node_modules/parseurl/index.js:95:20
      1    0.0%    0.0%  Function: ^emitCloseNT node:_http_server:843:21
      1    0.0%    0.0%  Function: ^emit node:events:470:44
      1    0.0%    0.0%  Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
      1    0.0%    0.0%  Function: ^clearBuffer node:internal/streams/writable:529:21
      1    0.0%    0.0%  Function: ^cleanup node:internal/streams/readable:699:19
      1    0.0%    0.0%  Function: ^callback /Users/tornado/code/node/nodejs-study/node_modules/ee-first/index.js:53:20
      1    0.0%    0.0%  Function: ^assignSocket node:_http_server:239:62
      1    0.0%    0.0%  Function: ^afterWrite node:internal/streams/writable:487:20
      1    0.0%    0.0%  Function: ^_write node:internal/streams/writable:283:16
      1    0.0%    0.0%  Function: ^_getMaxListeners node:events:401:26
      1    0.0%    0.0%  Function: ^_dump node:_http_incoming:364:49
      1    0.0%    0.0%  Function: ^Writable.write node:internal/streams/writable:333:36
      1    0.0%    0.0%  Function: ^Server._emitCloseIfDrained node:net:1659:48
      1    0.0%    0.0%  Function: ^ReadStream node:internal/fs/streams:148:20
      1    0.0%    0.0%  Function: ^EventEmitter.init node:events:324:29
      1    0.0%    0.0%  Function: ^Accepts.encoding.Accepts.encodings /Users/tornado/code/node/nodejs-study/node_modules/accepts/index.js:127:40
      1    0.0%    0.0%  Function: ^<anonymous> node:internal/util:347:32
      1    0.0%    0.0%  Function: ^<anonymous> node:fs:197:10

 [C++]:
